Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
express scripts medicare,express scripts,5325,0,5325,2016,2016-09-08,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Missouri,publicly traded,healthcare services,pharmacy services,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Enforcement-Letters-Items/ExpressScripts_CMP_09_08_2016.html,screenshot_209361.png,,,,,2016-01-01
hartford healthcare corp,hartford healthcare,10001,0,10001,2016,2016-06-30,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,,civil,,,,,Connecticut,,,,,,USA,Connecticut,non-profit,healthcare services,healthcare services,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,,,,,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. ",2016-01-01
health net inc.,centene,340000,0,340000,2016,2016-08-16,investor protection violation,,"The Securities and Exchange Commission announced that a California-based health insurance provider agreed to pay a $340,000 penalty for illegally using severance agreements requiring outgoing employees to waive their ability to obtain monetary awards from the SEC's whistleblower program.",federal,agency action,Securities and Exchange Commission,,civil,,,,,,,,,,,USA,Missouri,publicly traded,healthcare services,managed care,https://www.sec.gov/news/pressrelease/2016-164.html,screenshot_195131.png,,,,,2016-01-01
"health net, inc.",centene,458250,0,458250,2016,2016-02-29,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Missouri,publicly traded,healthcare services,managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Health_Net_CMP_02_29_16.pdf,194247.pdf,,,,,2016-01-01
"healthfirst, inc.",healthfirst,38125,0,38125,2016,2016-10-11,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,New York,privately held,healthcare services,health insurance,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Healthfirst_CMP_Notice_10_11_16.pdf,,,,,,2016-01-01
integris,integris health,232690,0,232690,2016,2016-06-30,employment discrimination,,,federal,agency action,Office of Federal Contract Compliance Programs,,civil,,,,,,,,,,,USA,Oklahoma,non-profit,healthcare services,healthcare services,https://www.dol.gov/ofccp/foia/files/Integris_CA_Redacted.pdf,212280.pdf,,,,,2016-01-01
kindred healthcare inc.,kindred healthcare,125000000,0,125000000,2016,2016-01-12,False Claims Act,,"Contract therapy providers RehabCare Group Inc., RehabCare Group East Inc. and their parent, Kindred Healthcare Inc., agreed to pay $125 million to resolve a government lawsuit alleging that they violated the False Claims Act by knowingly causing skilled nursing facilities to submit false claims to Medicare for rehabilitation therapy services that were not reasonable, necessary and skilled, or that never occurred.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://www.justice.gov/opa/pr/nation-s-largest-nursing-home-therapy-provider-kindredrehabcare-pay-125-million-resolve-false,screenshot_193618.png,,,,,2016-01-01
life care centers of america inc.,life care centers of america,145000000,0,145000000,2016,2016-10-24,False Claims Act,,"Life Care Centers of America Inc. and its owner agreed to pay $145 million to resolve a government lawsuit alleging that Life Care violated the False Claims Act by knowingly causing skilled nursing facilities to submit false claims to Medicare and TRICARE for rehabilitation therapy services that were not reasonable, necessary or skilled.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://www.justice.gov/opa/pr/life-care-centers-america-inc-agrees-pay-145-million-resolve-false-claims-act-allegations,screenshot_210381.png,,,,,2016-01-01
"mercy health partners, hackley campus",trinity health,9085,0,9085,2016,2016-03-24,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,07-CA-139776,,,Michigan,Muskegon,,,,,USA,Michigan,non-profit,healthcare services,hospitals,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2016-01-01
molina healthcare of new mexico inc.,molina healthcare,701855,0,701855,2016,2016-05-24,wage and hour violation,Fair Labor Standards Act,"A Wage and Hour Division investigation found Molina Healthcare of New Mexico Inc. violated the overtime provisions of the Fair Labor Standards Act by incorrectly applyhing an exemption from the FLSA's overtime requirements, meant for salaried executive, administrative and professional employees, to case managers.",federal,agency action,Labor Department Wage and Hour Division,,civil,,,,,New Mexico,Albuquerque,,,,,USA,California,publicly traded,healthcare services,health insurance,https://www.dol.gov/newsroom/releases/whd/whd20160524-0,screenshot_669651.png,,,,,2016-01-01
mount sinai medical center,mount sinai medical center,1900000,0,1900000,2016,2016-02-17,False Claims Act,,The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,Florida,Miami Beach,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations,screenshot_193606.png,,,,,2016-01-01
"nhc healthcare/clinton, llc",national healthcare corp.,50000,0,50000,2016,2016-01-25,employment discrimination,Americans with Disabilities Act,pregnancy and disability,federal,agency action,Equal Employment Opportunity Commission,,civil,,,,,South Carolina,Clinton,,,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://www.eeoc.gov/eeoc/newsroom/release/1-25-16b.cfm,screenshot_212154.png,,,,Description field shows type of discrimination that EEOC had alleged.,2016-01-01
"northwell health inc., f/k/a north shore-long island jewish health system",northwell health,2500000,0,2500000,2016,2016-02-17,False Claims Act,,The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,New York,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations,screenshot_193606.png,,,,,2016-01-01
texas health resources,texas health resources,242429,0,242429,2016,2016-09-28,environmental violation,,,federal,agency action,Environmental Protection Agency,,civil,,06-2016-0924,,,,,,,,,USA,Texas,non-profit,healthcare services,hospitals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C download file updated by EPA on 1/13/2018, available at http://echo.epa.gov/tools/data-downloads#downloads",,,,https://echo.epa.gov/enforcement-case-report?id=06-2016-0924,,2016-01-01
"pruitthealth - virginia park, llc",pruitthealth,16800,0,16800,2016,2016-04-28,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,10-CA-157669,,,Georgia,Atlanta,,,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2016-01-01
rural/metro corporation d/b/a southwest ambulance,envision healthcare holdings,19747,0,19747,2016,2016-03-18,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,28-CA-140671,,,Arizona,Scottsdale,,,,,USA,Colorado,publicly traded,healthcare services,healthcare services,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2016-01-01
sentara healthcare,sentara healthcare,2100000,0,2100000,2016,2016-02-17,False Claims Act,,The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Virginia,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations,screenshot_193606.png,,,,,2016-01-01
tenet healthcare corporation,tenet healthcare,513000000,0,513000000,2016,2016-10-03,False Claims Act,kickbacks and bribery,"A major U.S. hospital chain, Tenet Healthcare Corporation, and two of its Atlanta-area subsidiaries agreed to pay over $513 million to resolve criminal charges and civil claims relating to a scheme to defraud the United States and to pay kickbacks in exchange for patient referrals. Tenet HealthSystem Medical Inc. and its subsidiaries entered into a non-prosecution agreement while two other Tenet subsidiaries, Atlanta Medical Center Inc. and North Fulton Medical Center Inc., agreed to plead guilty to conspiracy to defraud the United States and to pay health care kickbacks and bribes in violation of the Anti-Kickback Statute.",federal,agency action,Justice Department Civil Division,,civil and criminal,plea & non-prosecution agreement,,,,,,,,,,USA,Texas,publicly traded,healthcare services,healthcare services,https://www.justice.gov/opa/pr/hospital-chain-will-pay-over-513-million-defrauding-united-states-and-making-illegal-payments,screenshot_210379.png,,,,,2016-01-01
tenet healthcare corporation,tenet healthcare,127200,0,127200,2016,2016-02-29,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Texas,publicly traded,healthcare services,healthcare services,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Tenet_CMP_02_29_2016.pdf,194248.pdf,,,,,2016-01-01
tenet healthcare d/b/a brookwood medical center,tenet healthcare,10769,0,10769,2016,2016-10-25,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,10-CA-167836,,,Alabama,Birmingham,,,,,USA,Texas,publicly traded,healthcare services,healthcare services,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2016-01-01
hospital of central connecticut,hartford healthcare,6236,0,6236,2016,2016-10-18,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341844710,,,Connecticut,NEW BRITAIN,100 GRAND STREET,06051,622110.0,622110: General Medical and Surgical Hospitals,USA,Connecticut,non-profit,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1184471.015,,2016-01-01
"uhs of westwood pembroke, inc.",universal health services inc.,12675,0,12675,2016,2016-10-11,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341827905,,,Massachusetts,PEMBROKE,199 OAK STREET,02359,622210.0,622210: Psychiatric and Substance Abuse Hospitals,USA,Pennsylvania,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1182790.015,,2016-01-01
trinity health,trinity health,30000,0,30000,2016,2016-02-24,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Michigan,non-profit,healthcare services,hospitals,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Trinity_Health_CMP_-02_24_16.pdf,194250.pdf,,,,,2016-01-01
kids behavioral health of montana inc.,acadia healthcare,11000,0,11000,2016,2016-08-04,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341668796,,,Montana,BUTTE,55 BASIN CREEK ROAD,59701,623220.0,623220: Residential Mental Health and Substance Abuse Facilities,USA,Tennessee,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1166879.015,,2016-01-01
unitedhealthcare medicare & retirement,unitedhealth group,2498850,0,2498850,2016,2016-11-22,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Minnesota,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/United_CMP_Notice_11_23_16.pdf,,,,,,2016-01-01
medstar health washington hospital center,medstar health,12675,0,12675,2016,2016-05-25,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341503159,,,District of Columbia,WASHINGTON,"110 IRVING STREET, NW",20010,622110.0,622110: General Medical and Surgical Hospitals,USA,Maryland,non-profit,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1150315.015,,2016-01-01
"uhs of doylestown, l.l.c.",universal health services inc.,36701,0,36701,2016,2016-05-13,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341478915,,,Pennsylvania,DOYLESTOWN,833 EAST BUTLER AVE,18901,622210.0,622210: Psychiatric and Substance Abuse Hospitals,USA,Pennsylvania,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1147891.015,,2016-01-01
st. rita's health partners,mercy health,7500,0,7500,2016,2016-04-12,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341392991,,,Ohio,LIMA,730 W. MARKET ST.,45801,622110.0,622110: General Medical and Surgical Hospitals,USA,Ohio,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1139299.015,,2016-01-01
st. francis medical center,verity health,36000,0,36000,2016,2016-04-01,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341370872,,,California,LYNWOOD,3630 E IMPERIAL HWY,90262,622110.0,622110: General Medical and Surgical Hospitals,USA,California,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1137087.015,,2016-01-01
"ameripath new york, llc",quest diagnostics,87300,0,87300,2016,2016-03-02,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341300192,,,Connecticut,SHELTON,1 GREENWICH PLACE,06484,621511.0,621511: Medical Laboratories,USA,New Jersey,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1130019.015,,2016-01-01
"concentra health services, inc.",select medical holdings,9600,0,9600,2016,2016-01-25,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341201143,,,Texas,DALLAS,5601 GREENVILLE AVENUE,75206,621498.0,621498: All Other Outpatient Care Centers,USA,Pennsylvania,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1120114.015,,2016-01-01
uhs of centennial peaks llc,universal health services inc.,7500,0,7500,2016,2016-01-21,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341198042,,,Colorado,LOUISVILLE,2255 S 88TH STREET,80027,622210.0,622210: Psychiatric and Substance Abuse Hospitals,USA,Pennsylvania,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1119804.015,,2016-01-01
"sunrise senior living services, inc.",revera,10850,0,10850,2016,2016-01-12,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341176238,,,Florida,JACKSONVILLE,4870 BELFORT ROAD,32256,623110.0,623110: Nursing Care Facilities,Canada,,privately held,healthcare services,assisted living facilities,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1117623.015,,2016-01-01
queen of the valley medical center,saint joseph health,18540,0,18540,2016,2016-01-04,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341159978,,,California,NAPA,1000 TRANCAS STREET,94558,622110.0,622110: General Medical and Surgical Hospitals,USA,California,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1115997.015,,2016-01-01
sentara health care,sentara healthcare,6175,0,6175,2016,2016-01-05,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,341156834,,,Virginia,CHESAPEAKE,1545 CROSSWAYS BLVD.,23320,493110.0,493110: General Warehousing and Storage,USA,Virginia,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1115683.015,,2016-01-01
vitas health corporation midwest,chemed,200000,0,200000,2016,2016-12-02,False Claims Act,kickbacks and bribery,,federal,agency action,U.S. Attorney-Eastern District of Michigan,,civil,,,,,,,,,,,USA,Ohio,publicly traded,healthcare services,hospice care; drain cleaning services,https://www.justice.gov/usao-edmi/pr/united-states-settles-health-care-fraud-action-involving-allegations-hospice-care,,,,,,2016-01-01
university of pittsburgh medical center,upmc,2500000,0,2500000,2016,2016-07-27,False Claims Act,,,federal,agency action,U.S. Attorney-Western District of Pennsylvania,,civil,,,,,Pennsylvania,,,,,,USA,Pennsylvania,non-profit,healthcare services,hospitals,https://www.justice.gov/usao-wdpa/pr/false-claims-act-violation-upmc-resolved-25-million,,,,,,2016-01-01
rem connecticut community services inc.,civitas solutions,1500000,0,1500000,2016,2016-05-31,False Claims Act,,,federal,agency action,U.S. Attorney-District of Connecticut,,civil,,,,,Connecticut,,,,,,USA,Massachusetts,publicly traded,healthcare services,home health services,https://www.justice.gov/usao-ct/pr/former-connecticut-group-home-operator-pays-15-million-settle-overbilling-allegations,,,,,,2016-01-01
saint michael's medical center inc.,prime healthcare services inc.,450000,0,450000,2016,2016-05-31,False Claims Act,,,federal,agency action,U.S. Attorney-District of New Jersey,,civil,,,,,New Jersey,Newark,,,,,USA,California,privately held,healthcare services,hospitals,https://www.justice.gov/usao-nj/pr/newark-hospital-pay-450000-allegedly-billing-health-care-programs-unnecessary-procedures,,,,,,2016-01-01
adventist health system sunbelt healthcare corporation,adventist health system,2090000,0,2090000,2016,2016-02-19,False Claims Act,,,federal,agency action,U.S. Attorney-Middle District of Florida,,civil,,,,,,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/usao-mdfl/pr/adventist-pay-more-2-million-resolve-false-claims-allegations,,,,,,2016-01-01
life care center of st louis,life care centers of america,5146,0,5146,2016,2016-08-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,SAINT LOUIS,3520 CHOUTEAU AVE,63103,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of escondido,life care centers of america,5363,0,5363,2016,2016-02-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,ESCONDIDO,1980 FELICITA ROAD,92025,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of the north shore,life care centers of america,5515,0,5515,2016,2016-10-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,LYNN,111 BIRCH STREET,01902,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
upmc heritage place,upmc,5932,0,5932,2016,2016-12-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Pennsylvania,PITTSBURGH,5701 PHILLIPS AVENUE,15217,,,USA,Pennsylvania,non-profit,healthcare services,hospitals,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
kindred hospital - louisville,kindred healthcare,6175,0,6175,2016,2016-05-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,LOUISVILLE,1313 ST. ANTHONY PLACE,40205,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of south pittsburg rehab & we,signature healthcare,7800,0,7800,2016,2016-04-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,SOUTH PITTSBURG,201 EAST 10TH STREET,37380,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
kindred nursing & rehabilitation-harborlights,kindred healthcare,8190,0,8190,2016,2016-04-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,BOSTON,804 EAST 7TH STREET,02127,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth- columbia,pruitthealth,8306,0,8306,2016,2016-09-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,COLUMBIA,2451 FOREST DRIVE,29204,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
