Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
life care center of west bridgewater,life care centers of america,8370,0,8370,2017,2017-04-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,WEST BRIDGEWATER,765 WEST CENTER STREET,2379.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - fairburn,pruitthealth,8518,0,8518,2017,2017-08-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FAIRBURN,7560 BUTNER ROAD,30213.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - augusta,pruitthealth,9473,0,9473,2017,2017-02-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,AUGUSTA,2541 MILLEDGEVILLE ROAD,30904.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - crestwood,pruitthealth,9750,0,9750,2017,2017-03-02,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,VALDOSTA,415 PENDLETON PLACE,31602.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of andover,life care centers of america,9750,0,9750,2017,2017-06-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,ANDOVER,"621 W 21ST,  PO BOX 100",67002.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of crossville,life care centers of america,9876,0,9876,2017,2017-06-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,CROSSVILLE,80 JUSTICE ST,38555.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - fitzgerald,pruitthealth,10000,0,10000,2017,2017-07-05,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FITZGERALD,185 BOWEN'S MILL HIGHWAY,31750.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of columbia,life care centers of america,10606,0,10606,2017,2017-08-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,COLUMBIA,2514 FARAWAY DRIVE,29223.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - shepherd hills,pruitthealth,12688,0,12688,2017,2017-07-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LA FAYETTE,800 PATTERSON RD,30728.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth dillon,pruitthealth,13393,0,13393,2017,2017-06-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,DILLON,413 LAKESIDE COURT,29536.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth-high point,pruitthealth,13592,0,13592,2017,2017-05-17,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,HIGH POINT,3830 N MAIN STREET,27265.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of charleston,life care centers of america,13627,0,13627,2017,2017-08-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,N CHARLESTON,2600 ELMS PLANTATION BLVD,29406.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - decatur,pruitthealth,13627,0,13627,2017,2017-10-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,DECATUR,3200 PANTHERSVILLE ROAD,30034.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of nashville rehab & wellness,signature healthcare,13628,0,13628,2017,2017-09-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,NASHVILLE,832 WEDGEWOOD AVENUE,37203.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center,life care centers of america,14045,0,14045,2017,2017-03-17,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FITZGERALD,176 LINCOLN AVE,31750.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, farragut",national healthcare corp.,14757,0,14757,2017,2017-06-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,KNOXVILLE,120 CAVETT HILL LANE,37922.0,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of columbia,life care centers of america,15150,0,15150,2017,2017-05-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,COLUMBIA,841 W. JAMES CAMPBELL BLVD.,38401.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of brookwood gardens,signature healthcare,15230,0,15230,2017,2017-03-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Florida,HOMESTEAD,1990 S CANAL DRIVE,33035.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - spring valley,pruitthealth,15860,0,15860,2017,2017-05-11,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,ELBERTON,651 RHODES DRIVE,30635.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of north florida,signature healthcare,15990,0,15990,2017,2017-05-25,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Florida,GRACEVILLE,1083 SANDERS AVENUE,32440.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred transitional care and rehab - canyonwood,kindred healthcare,16058,0,16058,2017,2017-04-19,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,REDDING,2120 BENTON DRIVE,96003.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred transitional care and rehab-columbus,kindred healthcare,16585,0,16585,2017,2017-01-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Indiana,COLUMBUS,2100 MIDWAY ST,47201.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - blue ridge,pruitthealth,17248,0,17248,2017,2017-07-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,BLUE RIDGE,99 OUIDA STREET,30513.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred nursing and rehabilitation - medical hill,kindred healthcare,17843,0,17843,2017,2017-06-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,OAKLAND,475 29TH STREET,94609.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - grandview,pruitthealth,19178,0,19178,2017,2017-05-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,ATHENS,165 WINSTON DRIVE,30607.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of columbia,life care centers of america,20907,0,20907,2017,2017-05-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,COLUMBIA,841 W. JAMES CAMPBELL BLVD.,38401.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, st charles",national healthcare corp.,21884,0,21884,2017,2017-05-18,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,SAINT CHARLES,35 SUGAR MAPLE LANE,63303.0,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of port townsend,life care centers of america,23126,0,23126,2017,2017-06-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,PORT TOWNSEND,751 KEARNEY STREET,98368.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of fentress county,signature healthcare,24937,0,24937,2017,2017-03-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,JAMESTOWN,208 DUNCAN ST N,38556.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of federal way,life care centers of america,25530,0,25530,2017,2017-08-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,FEDERAL WAY,1045 SOUTH 308TH STREET,98003.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred nursing and rehabilitation - medical hill,kindred healthcare,25620,0,25620,2017,2017-09-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,OAKLAND,475 29TH STREET,94609.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of skagit valley,life care centers of america,25955,0,25955,2017,2017-06-30,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,SEDRO WOOLLEY,1462 WEST STATE ROUTE 20,98284.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare at college park,signature healthcare,26117,0,26117,2017,2017-02-09,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Florida,FORT MYERS,13755 GOLF CLUB PKWY,33919.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of richland,life care centers of america,26169,0,26169,2017,2017-05-31,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,RICHLAND,44 GOETHALS DRIVE,99352.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of hilo,life care centers of america,29689,0,29689,2017,2017-06-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Hawaii,HILO,944 WEST KAWAILANI STREET,96720.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred transitional care and rehab - canyonwood,kindred healthcare,33215,0,33215,2017,2017-08-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,REDDING,2120 BENTON DRIVE,96003.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"lakewood healthcare, inc",ensign group,52083,0,52083,2017,2017-02-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Arkansas,HOT SPRINGS,260 LAKEPARK DRIVE,71901.0,,,USA,California,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of pikeville,signature healthcare,60525,0,60525,2017,2017-06-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,PIKEVILLE,260 SOUTH MAYO TRAIL,41501.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of glasgow rehab & wellness c,signature healthcare,64968,0,64968,2017,2017-02-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,GLASGOW,220 WESTWOOD ST.,42141.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of salt lake city,life care centers of america,67392,0,67392,2017,2017-07-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Utah,SALT LAKE CITY,1201 EAST 4500 SOUTH,84117.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of mount vernon,life care centers of america,75036,0,75036,2017,2017-02-09,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,MOUNT VERNON,2120 EAST DIVISION STREET,98273.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of chapel hill,signature healthcare,127340,0,127340,2017,2017-04-26,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,CHAPEL HILL,1602 E FRANKLIN STREET,27514.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - peake,pruitthealth,132711,0,132711,2017,2017-03-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,MACON,6190 PEAKE ROAD,31220.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of omaha,life care centers of america,162890,0,162890,2017,2017-01-11,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Nebraska,OMAHA,6032 VILLE DE SANTE DRIVE,68104.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
