Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
midstate medical center,hartford healthcare,436748,0,436748,2017,2017-04-18,HHS civil monetary penalties,,"Midstate Medical Center entered into a $436,748 settlement agreement to resolve allegations that it submitted claims in which patients who received home health services within three days of the patients' release from Midstate were improperly coded as discharged rather than as a post-acute care transfer.",federal,agency action,Health & Human Services Department Office of Inspector General,,civil,,,,,Connecticut,,,,,,USA,Connecticut,non-profit,healthcare services,healthcare services,https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp,,,,,,2017-01-01
memorial hermann health system,memorial hermann health system,248497,0,248497,2017,2017-02-22,environmental violation,,,federal,agency action,Environmental Protection Agency,,civil,,06-2017-0904,,,,,,,,,USA,Texas,non-profit,healthcare services,hospitals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C download file updated by EPA on 1/13/2018, available at http://echo.epa.gov/tools/data-downloads#downloads",,,,https://echo.epa.gov/enforcement-case-report?id=06-2017-0904,,2017-01-01
riverview healthcare,ensign group,5000,0,5000,2017,2017-02-13,environmental violation,,,federal,agency action,Environmental Protection Agency,,civil,,05-2017-7398,,,Minnesota,CROOKSTON,323 S. MINNESOTA STREET,56716,622110.0,622110: General Medical and Surgical Hospitals,USA,California,publicly traded,healthcare services,skilled nursing facilities,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C download file updated by EPA on 1/13/2018, available at http://echo.epa.gov/tools/data-downloads#downloads",,,,https://echo.epa.gov/enforcement-case-report?id=05-2017-7398,,2017-01-01
quest diagnostics inc.,quest diagnostics,6000000,0,6000000,2017,2017-04-28,False Claims Act,kickbacks and bribery,Quest Diagnostics Inc. agreed to pay $6 million to resolve a lawsuit by the United States alleging that its Berkeley HeartLab Inc. unit violated the False Claims Act by paying kickbacks to physicians and patients to induce the use of Berkeley for blood testing services and by charging for medically unnecessary tests.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,New Jersey,publicly traded,healthcare services,healthcare services,https://www.justice.gov/opa/pr/blood-testing-laboratory-pay-6-million-settle-allegations-kickbacks-and-unnecessary-testing,,,,,,2017-01-01
brookdale senior living communities inc,brookdale senior living,13600,0,13600,2017,2017-08-29,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342658994,,,Oregon,FOREST GROVE,3110 19TH AVE,97116,623312.0,623312: Homes for the Elderly,USA,Tennessee,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1265899.015,,2017-01-01
senior living properties llc,brookdale senior living,10864,0,10864,2017,2017-09-15,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342642675,,,Texas,SWEETWATER,1600 JOSEPHINE,79556,623110.0,623110: Nursing Care Facilities,USA,Tennessee,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1264267.015,,2017-01-01
"hca health services of virginia, inc.",hca holdings,8247,0,8247,2017,2017-08-28,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342593993,,,Virginia,RICHMOND,RETREAT DOCTORS' HOSPITAL2621GROVE AVENUE,23220,622110.0,622110: General Medical and Surgical Hospitals,USA,Tennessee,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1259399.015,,2017-01-01
"fresenius usa manufacturing, inc.",fresenius,12920,0,12920,2017,2017-08-11,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342547726,,,Ohio,OREGON,750 N. LALLENDORF,43616,325412.0,325412: Pharmaceutical Preparation Manufacturing,Germany,,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1254772.015,,2017-01-01
scan health plan,scan health plan,127950,0,127950,2017,2017-02-24,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,California,non-profit,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/SCAN_CMP_Notice_02_24_17.pdf,,,,,,2017-01-01
ashland hospital corporation,ashland hospital corp.,11250,0,11250,2017,2017-06-20,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342428091,,,Kentucky,WESTWOOD,2201 LEXINGTON AVENUE,41101,622110.0,622110: General Medical and Surgical Hospitals,USA,Kentucky,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1242809.015,,2017-01-01
almost family inc.,almost family inc.,5772,0,5772,2017,2017-04-10,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342236999,,,New York,OLEAN,2211 WEST STATE STREET,14760,621610.0,621610: Home Health Care Services,USA,Kentucky,publicly traded,healthcare services,home health services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1223699.015,,2017-01-01
memorial hermann health system,memorial hermann health system,7605,0,7605,2017,2017-02-21,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342117611,,,Texas,HOUSTON,925 GESSNERSUITE 2564,77024,622110.0,622110: General Medical and Surgical Hospitals,USA,Texas,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1211761.015,,2017-01-01
beaumont health and wellness center - integrative medicine,beaumont health,7000,0,7000,2017,2017-02-28,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342101896,,,Michigan,ROCHESTER HILLS,1555 E. SOUTH BLVDSUITE 170,48307,713940.0,713940: Fitness and Recreational Sports Centers,USA,Michigan,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1210189.015,,2017-01-01
st francis medical center,verity health,36000,0,36000,2017,2017-01-17,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342029386,,,California,LYNWOOD,3630 E IMPERIAL HWY,90262,622110.0,622110: General Medical and Surgical Hospitals,USA,California,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1202938.015,,2017-01-01
"uhs of westwood pembroke, inc.",universal health services inc.,9960,0,9960,2017,2017-01-05,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,342011368,,,Massachusetts,LOWELL,391 VARNUM AVE,01854,622210.0,622210: Psychiatric and Substance Abuse Hospitals,USA,Pennsylvania,publicly traded,healthcare services,healthcare services,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1201136.015,,2017-01-01
"wellcare health plans, inc.",wellcare health plans,1174300,0,1174300,2017,2017-02-23,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Florida,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/WellCare_CMP_Notice_02_23_2017.pdf,,,,,,2017-01-01
christus st. vincent regional medical center,christus health,12240000,0,12240000,2017,2017-09-01,False Claims Act,,"CHRISTUS St. Vincent Regional Medical Center and its partner CHRISTUS Health agreed to resolve allegations that they violated the False Claims Act by making illegal donations to county governments, which were used to fund the state share of Medicaid payments to the hospital.",federal,agency action,Justice Department Civil Division,,civil,,,,,New Mexico,Santa Fe,,,,,USA,Texas,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/christus-st-vincent-regional-medical-center-and-christus-health-pay-1224-million-settle,,,,,,2017-01-01
laboratory corporation of america,laboratory corp. of america,51015,0,51015,2017,2017-08-18,employment discrimination,,,federal,agency action,Office of Federal Contract Compliance Programs,,civil,,,,,New Jersey,Raritan,,,,,USA,North Carolina,publicly traded,healthcare services,healthcare services,https://www.dol.gov/ofccp/foia/files/Labcorp_of_America_Redacted.pdf,,,,,,2017-01-01
chemed corporation,chemed,75000000,0,75000000,2017,2017-10-30,False Claims Act,,"Chemed Corporation and various wholly-owned subsidiaries, including Vitas Hospice Services LLC and Vitas Healthcare Corporation, agreed to pay $75 million to resolve a government lawsuit alleging that defendants submitted false claims for hospice services to Medicare.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Ohio,publicly traded,healthcare services,hospice care; drain cleaning services,https://www.justice.gov/opa/pr/chemed-corp-and-vitas-hospice-services-agree-pay-75-million-resolve-false-claims-act,,,,,,2017-01-01
hospital corporation of america,hca holdings,8600000,0,8600000,2017,2017-10-04,kickbacks and bribery,,"Four Houston-area hospitals affiliated with HCA -- Bayshore Medical Center, Clear Lake Regional Medical Center, West Houston Medical Center and East Houston Regional Medical Center -- agreed to pay $8.6 million to settle allegations they received kickbacks from various ambulance companies in exchange for rights to the hospitals' more lucrative Medicare and Medicaid transport referrals.",federal,agency action,U.S. Attorney-Southern District of Texas,,civil,,,,,Texas,,,,,,USA,Tennessee,publicly traded,healthcare services,healthcare services,https://www.justice.gov/usao-sdtx/pr/four-area-hospitals-pay-millions-resolve-ambulance-swapping-allegations,,,,,,2017-01-01
aurora health care inc.,aurora health care,60000,0,60000,2017,2017-07-21,Americans with Disabilities Act,,,federal,agency action,U.S. Attorney-Eastern District of Wisconsin,,civil,,,,,,,,,,,USA,Wisconsin,non-profit,healthcare services,hospitals,https://www.justice.gov/usao-edwi/pr/settlement-aurora-health-care-inc-regarding-allegations-violations-americans,,,,,,2017-01-01
carolinas healthcare system,carolinas healthcare system,6500000,0,6500000,2017,2017-06-30,False Claims Act,,,federal,agency action,U.S. Attorney-Western District of North Carolina,,civil,,,,,North Carolina,,,,,,USA,North Carolina,non-profit,healthcare services,hospitals,https://www.justice.gov/usao-wdnc/pr/carolina-healthcare-system-agreems-pay-65-million-settle-false-claims-act-allegations,,,,,,2017-01-01
carecore national llc,carecore national,54000000,0,54000000,2017,2017-05-11,False Claims Act,,CareCore settled allegations that it authorized medical diagnostic procedures paid for with Medicare and Medicaid funds over a period of at least eight years without properly assessing whether the procedures were necessary or reasonable.,federal,agency action,U.S. Attorney-Southern District of New York,,civil,,,,,,,,,,,USA,South Carolina,privately held,healthcare services,healthcare information technology,https://www.justice.gov/usao-sdny/pr/acting-us-attorney-announces-54-million-settlement-civil-fraud-lawsuit-against-benefits,,,,,,2017-01-01
henry ford health system,henry ford health system,90004,0,90004,2017,2017-09-13,wage and hour violation,,,federal,agency action,Labor Department Wage and Hour Division,,civil,,,,,Michigan,Detroit,,,,,USA,Michigan,non-profit,healthcare services,hospitals,https://www.dol.gov/newsroom/releases/whd/whd20170913,,,,,,2017-01-01
emcare inc.,envision healthcare holdings,29600000,0,29600000,2017,2017-12-19,False Claims Act,,The Justice Department announced settlements with two physician groups for allegedly receiving illegal remuneration in exchange for patient referrals to hospitals owned by the now-defunct Health Management Associates.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Colorado,publicly traded,healthcare services,healthcare services,https://www.justice.gov/opa/pr/two-physician-groups-pay-over-33-million-resolve-claims-involving-hma-hospitals,,,,,,2017-01-01
davita rx llc,davita healthcare partners,63700000,0,63700000,2017,2017-12-14,False Claims Act,,"DaVita Rx LLC, a nationwide pharmacy that specializes in serving patients with severe kidney disease, agreed to pay a total of $63.7 million to resolve False Claims Act allegations relating to improper billing practices and unlawful financial inducements to federal healthcare program beneficiaries.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Colorado,publicly traded,healthcare services,healthcare services,https://www.justice.gov/opa/pr/davita-rx-agrees-pay-637-million-resolve-false-claims-act-allegations,,,,,,2017-01-01
air methods corporation,air methods corp.,400000,0,400000,2017,2017-08-15,aviation safety violation,,FLT OPNS,federal,agency action,Federal Aviation Administration,,civil,,2013NM030036,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2017-01-01
life care center of centerville,life care centers of america,5102,0,5102,2017,2017-05-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,CENTERVILLE,112 OLD DICKSON RD,37033,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, farragut",national healthcare corp.,5481,0,5481,2017,2017-06-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,KNOXVILLE,120 CAVETT HILL LANE,37922,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
ssm health st mary's care center,ssm health,6500,0,6500,2017,2017-04-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Wisconsin,MADISON,3401 MAPLE GROVE DR,53719,,,USA,Missouri,non-profit,healthcare services,hospitals,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, hendersonville",national healthcare corp.,6500,0,6500,2017,2017-06-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,HENDERSONVILLE,370 OLD SHACKLE ISLAND RD,37075,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"lakewood healthcare, inc",ensign group,6500,0,6500,2017,2017-09-15,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Arkansas,HOT SPRINGS,260 LAKEPARK DRIVE,71901,,,USA,California,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of carrollton,life care centers of america,7543,0,7543,2017,2017-05-15,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,CARROLLTON,300 LIFE CARE LANE,64633,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of madison,signature healthcare,7543,0,7543,2017,2017-06-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,MADISON,431 LARKIN SPRING RD,37115,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of coeur d'alene,life care centers of america,8125,0,8125,2017,2017-04-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Idaho,COEUR D ALENE,500 WEST AQUA AVENUE,83815,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred nursing and transitional care-pacific coas,kindred healthcare,8125,0,8125,2017,2017-07-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,SALINAS,720 EAST ROMIE LANE,93901,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth-union pointe,pruitthealth,8128,0,8128,2017,2017-09-09,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,MONROE,3510 WEST HIGHWAY 74,28110,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of west bridgewater,life care centers of america,8370,0,8370,2017,2017-04-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,WEST BRIDGEWATER,765 WEST CENTER STREET,02379,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - fairburn,pruitthealth,8518,0,8518,2017,2017-08-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FAIRBURN,7560 BUTNER ROAD,30213,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - augusta,pruitthealth,9473,0,9473,2017,2017-02-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,AUGUSTA,2541 MILLEDGEVILLE ROAD,30904,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - crestwood,pruitthealth,9750,0,9750,2017,2017-03-02,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,VALDOSTA,415 PENDLETON PLACE,31602,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of andover,life care centers of america,9750,0,9750,2017,2017-06-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,ANDOVER,"621 W 21ST,  PO BOX 100",67002,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of crossville,life care centers of america,9876,0,9876,2017,2017-06-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,CROSSVILLE,80 JUSTICE ST,38555,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - fitzgerald,pruitthealth,10000,0,10000,2017,2017-07-05,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FITZGERALD,185 BOWEN'S MILL HIGHWAY,31750,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of columbia,life care centers of america,10606,0,10606,2017,2017-08-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,COLUMBIA,2514 FARAWAY DRIVE,29223,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - shepherd hills,pruitthealth,12688,0,12688,2017,2017-07-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LA FAYETTE,800 PATTERSON RD,30728,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth dillon,pruitthealth,13393,0,13393,2017,2017-06-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,DILLON,413 LAKESIDE COURT,29536,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth-high point,pruitthealth,13592,0,13592,2017,2017-05-17,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,HIGH POINT,3830 N MAIN STREET,27265,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of charleston,life care centers of america,13627,0,13627,2017,2017-08-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,N CHARLESTON,2600 ELMS PLANTATION BLVD,29406,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth - decatur,pruitthealth,13627,0,13627,2017,2017-10-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,DECATUR,3200 PANTHERSVILLE ROAD,30034,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
