Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
signature healthcare of rockwood rehab & wellness,signature healthcare,94640,0,94640,2016,2016-05-25,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,ROCKWOOD,5580 ROANE STATE HWY,37854,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at rockford rehab & wellness,signature healthcare,101807,0,101807,2016,2016-12-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,LOUISVILLE,4700 QUINN DRIVE,40216,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at north hardin rehab & welln,signature healthcare,523868,0,523868,2016,2016-02-25,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,RADCLIFF,599 ROGERSVILLE RD.,40160,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of st louis,life care centers of america,5146,0,5146,2016,2016-08-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,SAINT LOUIS,3520 CHOUTEAU AVE,63103,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of escondido,life care centers of america,5363,0,5363,2016,2016-02-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,ESCONDIDO,1980 FELICITA ROAD,92025,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of the north shore,life care centers of america,5515,0,5515,2016,2016-10-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,LYNN,111 BIRCH STREET,01902,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of seneca,life care centers of america,8904,0,8904,2016,2016-09-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,SENECA,512 COMMUNITY DRIVE,66538,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center,life care centers of america,12188,0,12188,2016,2016-01-14,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FITZGERALD,176 LINCOLN AVE,31750,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of copper basin,life care centers of america,14430,0,14430,2016,2016-04-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,DUCKTOWN,166 COPPER BASIN INDUSTRIAL PARK PO BOX 518,37326,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of omaha,life care centers of america,19013,0,19013,2016,2016-06-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Nebraska,OMAHA,6032 VILLE DE SANTE DRIVE,68104,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of skagit valley,life care centers of america,36455,0,36455,2016,2016-11-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,SEDRO WOOLLEY,1462 WEST STATE ROUTE 20,98284,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of old hickory village,life care centers of america,63700,0,63700,2016,2016-03-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,OLD HICKORY,1250 ROBINSON ROAD,37138,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of ooltewah,life care centers of america,78250,0,78250,2016,2016-09-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,OOLTEWAH,5911 SNOW HILL ROAD,37363,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of andover,life care centers of america,130000,0,130000,2016,2016-09-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,ANDOVER,"621 W 21ST,  PO BOX 100",67002,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care ctr of lawrenceville,life care centers of america,422611,0,422611,2016,2016-11-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LAWRENCEVILLE,210 COLLINS INDUSTRIAL WAY,30045,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
