"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Court","Civil/Criminal","Prosecution Agreement","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent","Info Source","Info Source Archive URL","PACER Link","Captured Document","EPA/OSHA More Info Link","Notes"
"Addus Health Care, Inc.","Addus HomeCare","$146,432","$0","$146,432","2006","20060715","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1446092","","","Illinois","Palatine","","60067","621610","621610: Home Health Care Services","USA","Illinois","publicly traded","healthcare services","personal care services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ADDUS HEALTHCARE, INC.","Addus HomeCare","$10,001","$0","$10,001","2016","20160722","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","","civil","","","","","Illinois","","","","","","USA","Illinois","publicly traded","healthcare services","personal care services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","","","","","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","False Claims Act","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Indiana","publicly traded","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html","","","","",""
"Adventist Health System","Adventist Health System","$115,000,000","$0","$115,000,000","2015","20150921","False Claims Act","","Adventist Health System agreed to pay the United States $115 million to settle allegations that it violated the False Claims Act by maintaining improper compensation arrangements with referring physicians and by miscoding claims.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-system-agrees-pay-115-million-settle-false-claims-act-allegations","screenshot_193701.png","","","",""
"Adventist Health System/Sunbelt Inc.","Adventist Health System","$3,900,000","$0","$3,900,000","2012","20120207","False Claims Act","","Fourteen hospitals located in New York, Mississippi, North Carolina, Washington, Indiana, Missouri and Florida agreed to pay the United States a total of more than $12 million to settle allegations that the health care facilities submitted false claims to Medicare relating to lyphplasty services.","federal","agency action","Justice Department Civil Division","","civil","","","","","Florida","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/fourteen-hospitals-pay-us-more-12-million-resolve-false-claims-act-allegations-related","screenshot_193928.png","","","",""
"Adventist Health System/Sunbelt Inc.","Adventist Health System","$973,442","$0","$973,442","2004","20041127","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1378637","","","Florida","Orlando","","32803","62211","62211: General Medical and Surgical Hospitals","USA","Florida","non-profit","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Adventist Health System/West","Adventist Health (West)","$14,100,000","$0","$14,100,000","2013","20130503","False Claims Act","kickbacks and bribery","Adventist Health System/West, dba Adventist Health, and its affiliated hospital White Memorial Medical Center agreed to pay the United States and the state of California $14.1 million to settle claims that they violated the False Claims Act. The settlement resolved allegations that Adventist Health improperly compensated physicians who referred patients to the White Memorial facility by transferring assets, including medical and non-medical supplies and inventory, at less than fair market value.","federal","agency action","Justice Department Civil Division","","civil","","","","","California","Los Angeles","","","","","USA","California","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-pays-united-states-and-state-california-141-million-resolve-false-claims-act","screenshot_193862.png","","","",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$28,300,000","$0","$28,300,000","2004","20041028","False Claims Act","","Adventist Health System Sunbelt Healthcare Corporation, three affiliated hospitals and a management company that administered ambulance operations at the three hospitals agreed to pay the U.S. $20.3 million to settle allegations that they overcharged Medicare for ambulance transports for patients which were not medically necessary.","federal","agency action","Justice Department Civil Division","","civil","","","","","Florida","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2004/October/04_civ_723.htm","","","","",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$8,700,000","$0","$8,700,000","2000","20001208","False Claims Act","","Adventist Health System Sunbelt Healthcare Corporation and three affiliated hospitals agreed to pay the United States $8.7 million to settle allegations that the hospitals overcharged Medicare.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2000/December/686civ.htm","","","","",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$5,500,000","$0","$5,500,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$5,412,502","$0","$5,412,502","2015","20150319","False Claims Act","","Adventist Health System Sunbelt Healthcare Corporation agreed to pay $5,412,502 to resolve claims that it violated the False Claims Act by providing radiation oncology services to Medicare and TRICARE beneficiaries that were not directly supervised by radiation oncologists or similarly qualified persons.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Florida","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-system-pay-54-million-resolve-false-claims-act-allegations","screenshot_193737.png","","","",""
"Advocate Health and Hospitals Corporation","Advocate Health Care","$3,000,000","$0","$3,000,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Illinois","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Advocate Health and Hospitals Corporation","Advocate Health Care","$317,660","$0","$317,660","2015","20151023","HHS civil monetary penalties","","Advocate Health and Hospitals Corporation entered into a $317,660.89 settlement agreement to resolve allegations that Advocate employed two individuals who were excluded from participation in any Federal health care program. ","federal","agency action","Health & Human Services Department Office of Inspector General","","civil","","","","","Illinois","","","","","","USA","Illinois","non-profit","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp","screenshot_194053.png","","","",""
"Advocate Health Hospital Corp. d/b/a Advocate Lutheran General Hospital","Advocate Health Care","$47,478","$0","$47,478","2005","20051025","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","13-CA-42527-001","","","Illinois","Park Ridge","","60068","622110","622110: General Medical and Surgical Hospitals","USA","Illinois","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Aetna Inc","Aetna","$567,403","$0","$567,403","2004","20041101","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1409520","","","Connecticut","Hartford","","06105","524128","524128: Other Direct Insurance (except Life, Health, and Medical) Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc","Aetna","$196,875","$0","$196,875","2003","20031222","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1375880","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","Aetna","$1,000,000","$0","$1,000,000","2015","20150416","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/AetnaCMP4162015.pdf","194265.pdf","","","",""
"Aetna Inc.","Aetna","$199,752","$0","$199,752","2003","20031222","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1389192","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna INC.","Aetna","$190,963","$0","$190,963","2004","20040403","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1365535","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","Aetna","$51,547","$0","$51,547","2003","20031222","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1389129","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","Aetna","$27,853","$0","$27,853","2003","20031222","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1389125","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna, Inc","Aetna","$8,187","$0","$8,187","2013","20130726","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1697541","","","Florida","Tampa","","33619","524114","524114: Direct Health and Medical Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna, Inc.","Aetna","$407,800","$0","$407,800","2014","20140424","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Aetna-Coventry-CMP-4_24_14.pdf","194296.pdf","","","",""
"Aetna, Inc.","Aetna","$171,240","$0","$171,240","2011","20110114","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/AetnaCMP_011411_Final1.pdf","194335.pdf","","","",""
"Aetna, Inc.","Aetna","$101,500","$0","$101,500","2014","20140424","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Aetna-CMP-4_24_14.pdf","194297.pdf","","","",""
"Aetna, Inc.","Aetna","$20,000","$0","$20,000","2011","20110922","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/Final_Aetna_CMPs_Letter_09222011.pdf","194329.pdf","","","",""
"Aetna Life Insurance Company","Aetna","$5,210","$0","$5,210","2008","20080731","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","","civil","","","","","","","","","","","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf","","","","",""
"AHMC Central Health LLC","AHMC Healthcare","$153,850","$0","$153,850","2016","20160224","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","California","privately held","healthcare services","hospitals","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/AHMC_CMP_-2_24_2016.pdf","194249.pdf","","","",""
"AHMC Garfield Medical Center","AHMC Healthcare","$530,000","$0","$530,000","2011","20111116","employment discrimination","","Retaliation; Sexual Harassment","federal","agency action","Equal Employment Opportunity Commission","","civil","","","","","California","","","","","","USA","California","privately held","healthcare services","hospitals","https://www.eeoc.gov/eeoc/newsroom/release/11-16-11b.cfm","screenshot_211610.png","","","","Description field shows type of discrimination that EEOC had alleged."
"AHMC Whittier Hospital Medical Center LP","AHMC Healthcare","$10,000","$0","$10,000","2006","20060504","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","21-CA-36916-001","","","California","Whittier","","90605","622110","622110: General Medical and Surgical Hospitals","USA","California","privately held","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"AIR METHODS CORPORATION","Air Methods Corp.","$100,000","$0","$100,000","2016","20160512","aviation safety violation","","AIRCRAFT ALTR","federal","agency action","Federal Aviation Administration","","civil","","2011NM030105","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"AIR METHODS CORPORATION","Air Methods Corp.","$65,000","$0","$65,000","2016","20160512","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","","civil","","2015NM030007","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"AIR METHODS CORPORATION","Air Methods Corp.","$10,000","$0","$10,000","2016","20160512","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","","civil","","2015NM030016","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"AIR METHODS INC","Air Methods Corp.","$5,000","$0","$5,000","2009","20090612","aviation safety violation","","MAINTENAN CE ","federal","agency action","Federal Aviation Administration","","civil","","2009NM030009 ","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"KINDRED TRANSITIONAL CARE REHABILITATION-ROSE MANO","Kindred Healthcare","$6,965","$0","$6,965","2015","20150410","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","317984375","","","North Carolina","DURHAM","4230 NORTH ROXBORO ROAD","27704","623110","623110: Nursing Care Facilities","USA","Kentucky","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=317984375",""
"Allina Health System","Allina Health System","$16,000,000","$0","$16,000,000","2002","20020115","False Claims Act","","Allina Health System agreed to pay the United States $16 million to resolve allegations that it fraudulently overbilled three government health care programs -- Medicare, Medicaid, and the military health care programs, TRICARE/CHAMPUS.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Minnesota","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2002/January/02_civ_014.htm","","","","",""
"Allina Health System","Allina Health System","$2,560,000","$0","$2,560,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Minnesota","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Allina Health System d/b/a Abbott Northwestern Hospital","Allina Health System","$54,658","$0","$54,658","2005","20051117","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","18-CA-16051-001","","","Minnesota","Minneapolis","","55407","622110","622110: General Medical and Surgical Hospitals","USA","Minnesota","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
