Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
adventist health system,adventist health system,115000000,0,115000000,2015,2015-09-21,False Claims Act,,Adventist Health System agreed to pay the United States $115 million to settle allegations that it violated the False Claims Act by maintaining improper compensation arrangements with referring physicians and by miscoding claims.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/adventist-health-system-agrees-pay-115-million-settle-false-claims-act-allegations,screenshot_193701.png,,,,,2015-01-01
adventist health system/sunbelt inc.,adventist health system,3900000,0,3900000,2012,2012-02-07,False Claims Act,,"Fourteen hospitals located in New York, Mississippi, North Carolina, Washington, Indiana, Missouri and Florida agreed to pay the United States a total of more than $12 million to settle allegations that the health care facilities submitted false claims to Medicare relating to lyphplasty services.",federal,agency action,Justice Department Civil Division,,civil,,,,,Florida,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fourteen-hospitals-pay-us-more-12-million-resolve-false-claims-act-allegations-related,screenshot_193928.png,,,,,2012-01-01
adventist health system/sunbelt inc.,adventist health system,973442,0,973442,2004,2004-11-27,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1378637,,,Florida,Orlando,,32803,62211.0,62211: General Medical and Surgical Hospitals,USA,Florida,non-profit,healthcare services,hospitals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2004-01-01
adventist health system/west,adventist health (west),14100000,0,14100000,2013,2013-05-03,False Claims Act,kickbacks and bribery,"Adventist Health System/West, dba Adventist Health, and its affiliated hospital White Memorial Medical Center agreed to pay the United States and the state of California $14.1 million to settle claims that they violated the False Claims Act. The settlement resolved allegations that Adventist Health improperly compensated physicians who referred patients to the White Memorial facility by transferring assets, including medical and non-medical supplies and inventory, at less than fair market value.",federal,agency action,Justice Department Civil Division,,civil,,,,,California,Los Angeles,,,,,USA,California,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/adventist-health-pays-united-states-and-state-california-141-million-resolve-false-claims-act,screenshot_193862.png,,,,,2013-01-01
adventist health system sunbelt healthcare corporation,adventist health system,28300000,0,28300000,2004,2004-10-28,False Claims Act,,"Adventist Health System Sunbelt Healthcare Corporation, three affiliated hospitals and a management company that administered ambulance operations at the three hospitals agreed to pay the U.S. $20.3 million to settle allegations that they overcharged Medicare for ambulance transports for patients which were not medically necessary.",federal,agency action,Justice Department Civil Division,,civil,,,,,Florida,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/archive/opa/pr/2004/October/04_civ_723.htm,,,,,,2004-01-01
adventist health system sunbelt healthcare corporation,adventist health system,8700000,0,8700000,2000,2000-12-08,False Claims Act,,Adventist Health System Sunbelt Healthcare Corporation and three affiliated hospitals agreed to pay the United States $8.7 million to settle allegations that the hospitals overcharged Medicare.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/archive/opa/pr/2000/December/686civ.htm,,,,,,2000-01-01
adventist health system sunbelt healthcare corporation,adventist health system,5500000,0,5500000,2015,2015-10-30,False Claims Act,,The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations,screenshot_193631.png,,,,,2015-01-01
adventist health system sunbelt healthcare corporation,adventist health system,5412502,0,5412502,2015,2015-03-19,False Claims Act,,"Adventist Health System Sunbelt Healthcare Corporation agreed to pay $5,412,502 to resolve claims that it violated the False Claims Act by providing radiation oncology services to Medicare and TRICARE beneficiaries that were not directly supervised by radiation oncologists or similarly qualified persons.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Florida,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/adventist-health-system-pay-54-million-resolve-false-claims-act-allegations,screenshot_193737.png,,,,,2015-01-01
advocate health and hospitals corporation,advocate health care,3000000,0,3000000,2015,2015-10-30,False Claims Act,,The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Illinois,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations,screenshot_193631.png,,,,,2015-01-01
advocate health and hospitals corporation,advocate health care,317660,0,317660,2015,2015-10-23,HHS civil monetary penalties,,"Advocate Health and Hospitals Corporation entered into a $317,660.89 settlement agreement to resolve allegations that Advocate employed two individuals who were excluded from participation in any Federal health care program. ",federal,agency action,Health & Human Services Department Office of Inspector General,,civil,,,,,Illinois,,,,,,USA,Illinois,non-profit,healthcare services,hospitals,https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp,screenshot_194053.png,,,,,2015-01-01
advocate health hospital corp. d/b/a advocate lutheran general hospital,advocate health care,47478,0,47478,2005,2005-10-25,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,13-CA-42527-001,,,Illinois,Park Ridge,,60068,622110.0,622110: General Medical and Surgical Hospitals,USA,Illinois,non-profit,healthcare services,hospitals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,,,,,2005-01-01
aetna inc,aetna,567403,0,567403,2004,2004-11-01,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1409520,,,Connecticut,Hartford,,06105,524128.0,"524128: Other Direct Insurance (except Life, Health, and Medical) Carriers",USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2004-01-01
aetna inc,aetna,196875,0,196875,2003,2003-12-22,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1375880,,,Connecticut,Hartford,,06103,5241.0,5241: Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2003-01-01
aetna inc.,aetna,1000000,0,1000000,2015,2015-04-16,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/AetnaCMP4162015.pdf,194265.pdf,,,,,2015-01-01
aetna inc.,aetna,199752,0,199752,2003,2003-12-22,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1389192,,,Connecticut,Hartford,,06103,5241.0,5241: Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2003-01-01
aetna inc.,aetna,190963,0,190963,2004,2004-04-03,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1365535,,,Connecticut,Hartford,,06103,5241.0,5241: Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2004-01-01
aetna inc.,aetna,51547,0,51547,2003,2003-12-22,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1389129,,,Connecticut,Hartford,,06103,5241.0,5241: Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2003-01-01
aetna inc.,aetna,27853,0,27853,2003,2003-12-22,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1389125,,,Connecticut,Hartford,,06103,5241.0,5241: Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2003-01-01
"aetna, inc",aetna,8187,0,8187,2013,2013-07-26,Family and Medical Leave Act,,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1697541,,,Florida,Tampa,,33619,524114.0,524114: Direct Health and Medical Insurance Carriers,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2013-01-01
"aetna, inc.",aetna,407800,0,407800,2014,2014-04-24,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Aetna-Coventry-CMP-4_24_14.pdf,194296.pdf,,,,,2014-01-01
"aetna, inc.",aetna,171240,0,171240,2011,2011-01-14,Medicare Parts C and D Enforcement Action,,Required Beneficiary Notices,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/AetnaCMP_011411_Final1.pdf,194335.pdf,,,,,2011-01-01
"aetna, inc.",aetna,101500,0,101500,2014,2014-04-24,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Aetna-CMP-4_24_14.pdf,194297.pdf,,,,,2014-01-01
"aetna, inc.",aetna,20000,0,20000,2011,2011-09-22,Medicare Parts C and D Enforcement Action,,Required Beneficiary Notices,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/Final_Aetna_CMPs_Letter_09222011.pdf,194329.pdf,,,,,2011-01-01
aetna life insurance company,aetna,5210,0,5210,2008,2008-07-31,economic sanction violation,,,federal,agency action,Office of Foreign Assets Control,,civil,,,,,,,,,,,USA,Connecticut,publicly traded,healthcare services,insurance; managed care,https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf,,,,,,2008-01-01
ahmc central health llc,ahmc healthcare,153850,0,153850,2016,2016-02-24,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,California,privately held,healthcare services,hospitals,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/AHMC_CMP_-2_24_2016.pdf,194249.pdf,,,,,2016-01-01
ahmc garfield medical center,ahmc healthcare,530000,0,530000,2011,2011-11-16,employment discrimination,,Retaliation; Sexual Harassment,federal,agency action,Equal Employment Opportunity Commission,,civil,,,,,California,,,,,,USA,California,privately held,healthcare services,hospitals,https://www.eeoc.gov/eeoc/newsroom/release/11-16-11b.cfm,screenshot_211610.png,,,,Description field shows type of discrimination that EEOC had alleged.,2011-01-01
ahmc whittier hospital medical center lp,ahmc healthcare,10000,0,10000,2006,2006-05-04,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,21-CA-36916-001,,,California,Whittier,,90605,622110.0,622110: General Medical and Surgical Hospitals,USA,California,privately held,healthcare services,hospitals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,,,,,2006-01-01
air methods corporation,air methods corp.,100000,0,100000,2016,2016-05-12,aviation safety violation,,AIRCRAFT ALTR,federal,agency action,Federal Aviation Administration,,civil,,2011NM030105,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
air methods corporation,air methods corp.,65000,0,65000,2016,2016-05-12,aviation safety violation,,MAINTENANCE,federal,agency action,Federal Aviation Administration,,civil,,2015NM030007,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
air methods corporation,air methods corp.,10000,0,10000,2016,2016-05-12,aviation safety violation,,MAINTENANCE,federal,agency action,Federal Aviation Administration,,civil,,2015NM030016,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
air methods inc,air methods corp.,5000,0,5000,2009,2009-06-12,aviation safety violation,,MAINTENAN CE ,federal,agency action,Federal Aviation Administration,,civil,,2009NM030009 ,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2009-01-01
kindred transitional care rehabilitation-rose mano,kindred healthcare,6965,0,6965,2015,2015-04-10,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,317984375,,,North Carolina,DURHAM,4230 NORTH ROXBORO ROAD,27704,623110.0,623110: Nursing Care Facilities,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=317984375,,2015-01-01
allina health system,allina health system,16000000,0,16000000,2002,2002-01-15,False Claims Act,,"Allina Health System agreed to pay the United States $16 million to resolve allegations that it fraudulently overbilled three government health care programs -- Medicare, Medicaid, and the military health care programs, TRICARE/CHAMPUS.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Minnesota,non-profit,healthcare services,hospitals,https://www.justice.gov/archive/opa/pr/2002/January/02_civ_014.htm,,,,,,2002-01-01
allina health system,allina health system,2560000,0,2560000,2015,2015-10-30,False Claims Act,,The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Minnesota,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations,screenshot_193631.png,,,,,2015-01-01
allina health system d/b/a abbott northwestern hospital,allina health system,54658,0,54658,2005,2005-11-17,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,18-CA-16051-001,,,Minnesota,Minneapolis,,55407,622110.0,622110: General Medical and Surgical Hospitals,USA,Minnesota,non-profit,healthcare services,hospitals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,,,,,2005-01-01
